NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Power-line,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
San Benito-Monterey,"$173,291 ",$250 ,$0 ,$400 ,"$3,415 ",$0 ,"$132,606 ","$30,420 ",$0 ,$0 ,$0 ,"$6,100 ",$100 ,2011,south 
Inyo,"$20,007 ",$0 ,$0 ,$0 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$7 ,$0 ,2011,south 
San Bernardino,"$419,810 ",$0 ,$0 ,$0 ,"$39,002 ",$0 ,$108 ,$0 ,$0 ,$0 ,$0 ,"$380,700 ",$0 ,2011,south 
San Bernardino,"$439,817 ",$0 ,$0 ,$0 ,"$59,002 ",$0 ,$108 ,$0 ,$0 ,$0 ,$0 ,"$380,707 ",$0 ,2011,south 
San Diego,"$341,962 ","$5,000 ",$0 ,$0 ,"$99,800 ",$0 ,"$232,162 ",$500 ,$0 ,$0 ,$0 ,"$3,500 ","$1,000 ",2011,south 
San Diego,"$341,962 ","$5,000 ",$0 ,$0 ,"$99,800 ",$0 ,"$232,162 ",$500 ,$0 ,$0 ,$0 ,"$3,500 ","$1,000 ",2011,south 
San Luis Obispo,"$123,200 ",$0 ,$0 ,$0 ,"$89,300 ",$0 ,"$28,900 ","$3,000 ",$0 ,$0 ,$0 ,"$2,000 ",$0 ,2011,south 
San Luis Obispo,"$123,200 ",$0 ,$0 ,$0 ,"$89,300 ",$0 ,"$28,900 ","$3,000 ",$0 ,$0 ,$0 ,"$2,000 ",$0 ,2011,south 
Tulare,"$76,685 ","$2,425 ",$0 ,$100 ,"$24,460 ","$1,000 ","$12,000 ",$500 ,$0 ,$0 ,$0 ,"$36,200 ",$0 ,2011,south 
Tulare,"$76,685 ","$2,425 ",$0 ,$100 ,"$24,460 ","$1,000 ","$12,000 ",$500 ,$0 ,$0 ,$0 ,"$36,200 ",$0 ,2011,south 
Calaveras,"$322,326 ",$100 ,$0 ,"$59,076 ","$44,300 ","$2,000 ","$170,975 ","$20,000 ",$0 ,$0 ,"$4,800 ","$21,075 ",$0 ,2011,south 
E. San Joaquin,"$13,210 ",$100 ,$0 ,$0 ,"$7,000 ",$0 ,"$6,110 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,south 
E. Stanislaus,"$376,795 ","$103,200 ",$35 ,$0 ,"$8,800 ","$224,400 ","$17,250 ",$600 ,$0 ,$0 ,$0 ,"$13,310 ","$9,200 ",2011,south 
Tuolumne,"$644,582 ",$900 ,$0 ,"$1,831 ",$0 ,$0 ,"$604,567 ",$600 ,$0 ,$0 ,$0 ,"$35,484 ","$1,200 ",2011,south 
Tuolumne-Calaveras,"$1,356,913 ","$104,300 ",$35 ,"$60,907 ","$60,100 ","$226,400 ","$798,902 ","$21,200 ",$0 ,$0 ,"$4,800 ","$69,869 ","$10,400 ",2011,south 
