"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USR0000CBEU","BEAUMONT CALIFORNIA, CA US","33.9306","-116.95","793.7","2010",,,,"62.1","73.9"
"USR0000CBEU","BEAUMONT CALIFORNIA, CA US","33.9306","-116.95","793.7","2011",,,,"62.4","74.5"
"USR0000CBEU","BEAUMONT CALIFORNIA, CA US","33.9306","-116.95","793.7","2012",,,,"64.8","77.6"
"USR0000CBEU","BEAUMONT CALIFORNIA, CA US","33.9306","-116.95","793.7","2013",,,,"64.1","76.4"
"USR0000CBEU","BEAUMONT CALIFORNIA, CA US","33.9306","-116.95","793.7","2014",,,,"66.1","78.6"
"USR0000CBEU","BEAUMONT CALIFORNIA, CA US","33.9306","-116.95","793.7","2015",,,,"65.1","77.3"
"USR0000CBEU","BEAUMONT CALIFORNIA, CA US","33.9306","-116.95","793.7","2016",,,,"64.1","76.0"
"USW00023158","BLYTHE ASOS, CA US","33.6186","-114.7142","120.4","2010","7.4","4.54",,"73.5","87.1"
"USW00023158","BLYTHE ASOS, CA US","33.6186","-114.7142","120.4","2011","7.6","3.96",,"73.4","87.4"
"USW00023158","BLYTHE ASOS, CA US","33.6186","-114.7142","120.4","2012","6.9","4.48",,"74.9","89.1"
"USW00023158","BLYTHE ASOS, CA US","33.6186","-114.7142","120.4","2013","7.6","3.37",,"74.0","87.9"
"USW00023158","BLYTHE ASOS, CA US","33.6186","-114.7142","120.4","2014",,"1.61",,,
"USW00023158","BLYTHE ASOS, CA US","33.6186","-114.7142","120.4","2015","7.8","3.19",,"75.4","88.8"
"USW00023158","BLYTHE ASOS, CA US","33.6186","-114.7142","120.4","2016","8.3","3.40",,"75.8","89.5"
"USC00043896","HEMET, CA US","33.7381","-116.8939","552.0","2010",,"19.14","0.0","64.7","79.7"
"USC00043896","HEMET, CA US","33.7381","-116.8939","552.0","2013",,"5.35",,,
"USC00043896","HEMET, CA US","33.7381","-116.8939","552.0","2014",,"12.85",,"68.5","81.4"
"USC00043896","HEMET, CA US","33.7381","-116.8939","552.0","2015",,"7.87",,"67.2","78.5"
"USC00043896","HEMET, CA US","33.7381","-116.8939","552.0","2016",,"9.25",,"67.2","79.0"
"USC00047813","SAN JACINTO RANGER STATION, CA US","33.7869","-116.9583","475.5","2010",,,"0.0",,
"USC00047813","SAN JACINTO RANGER STATION, CA US","33.7869","-116.9583","475.5","2011",,"9.61",,"64.1","78.7"
"USC00047813","SAN JACINTO RANGER STATION, CA US","33.7869","-116.9583","475.5","2012",,,,"66.9","82.4"
"USC00047813","SAN JACINTO RANGER STATION, CA US","33.7869","-116.9583","475.5","2013",,"6.02",,"66.0","81.4"
"USC00047813","SAN JACINTO RANGER STATION, CA US","33.7869","-116.9583","475.5","2014",,"10.18",,"67.8","83.3"
"USC00047813","SAN JACINTO RANGER STATION, CA US","33.7869","-116.9583","475.5","2015",,"7.33",,"66.9","81.4"
"USC00047813","SAN JACINTO RANGER STATION, CA US","33.7869","-116.9583","475.5","2016",,"10.25",,"66.7","80.4"
"USR0000CSRO","SANTA ROSA PLATEAU CALIFORNIA, CA US","33.5286","-117.2306","603.5","2010",,,,"60.9","70.7"
"USR0000CSRO","SANTA ROSA PLATEAU CALIFORNIA, CA US","33.5286","-117.2306","603.5","2011",,,,"61.8","72.0"
"USR0000CSRO","SANTA ROSA PLATEAU CALIFORNIA, CA US","33.5286","-117.2306","603.5","2012",,,,"63.9","74.5"
"USR0000CSRO","SANTA ROSA PLATEAU CALIFORNIA, CA US","33.5286","-117.2306","603.5","2013",,,,"63.5","74.1"
"USR0000CSRO","SANTA ROSA PLATEAU CALIFORNIA, CA US","33.5286","-117.2306","603.5","2014",,,,"65.9","76.6"
"USR0000CSRO","SANTA ROSA PLATEAU CALIFORNIA, CA US","33.5286","-117.2306","603.5","2015",,,,"65.2","75.5"
"USR0000CSRO","SANTA ROSA PLATEAU CALIFORNIA, CA US","33.5286","-117.2306","603.5","2016",,,,,
"US1CARV0017","PERRIS 8.5 WNW, CA US","33.8262","-117.365","499.6","2010",,"18.80",,,
"US1CARV0017","PERRIS 8.5 WNW, CA US","33.8262","-117.365","499.6","2011",,"8.62",,,
"US1CARV0017","PERRIS 8.5 WNW, CA US","33.8262","-117.365","499.6","2012",,"5.99",,,
"US1CARV0017","PERRIS 8.5 WNW, CA US","33.8262","-117.365","499.6","2014",,"6.48",,,
"US1CARV0017","PERRIS 8.5 WNW, CA US","33.8262","-117.365","499.6","2016",,"10.20",,,
"USC00042327","DEEP CANYON LAB, CA US","33.6513","-116.3763","365.8","2014",,"2.48",,,
"USC00042327","DEEP CANYON LAB, CA US","33.6513","-116.3763","365.8","2015",,"4.54",,,
"USC00042327","DEEP CANYON LAB, CA US","33.6513","-116.3763","365.8","2016",,"4.33",,,
"USC00043855","HAYFIELD PUMPING PLANT, CA US","33.7044","-115.6289","417.6","2010",,"10.51","0.0",,
"USC00043855","HAYFIELD PUMPING PLANT, CA US","33.7044","-115.6289","417.6","2011",,"3.85",,"69.1","85.0"
"USC00043855","HAYFIELD PUMPING PLANT, CA US","33.7044","-115.6289","417.6","2012",,"4.75",,"71.3","87.5"
"USC00043855","HAYFIELD PUMPING PLANT, CA US","33.7044","-115.6289","417.6","2013",,"3.02","0.0","70.6","86.0"
"USC00043855","HAYFIELD PUMPING PLANT, CA US","33.7044","-115.6289","417.6","2014",,"3.29","0.0",,"88.1"
"USC00043855","HAYFIELD PUMPING PLANT, CA US","33.7044","-115.6289","417.6","2016",,"5.50","0.0","71.3","87.5"
"US1CARV0018","BEAUMONT 2.5 NW, CA US","33.9543","-117.012","771.8","2015",,"10.76",,,
"USR0000CANZ","ANZA CALIFORNIA, CA US","33.555","-116.673","1194.8","2010",,,,"55.8","69.4"
"USR0000CANZ","ANZA CALIFORNIA, CA US","33.555","-116.673","1194.8","2011",,,,"55.9","69.7"
"USR0000CANZ","ANZA CALIFORNIA, CA US","33.555","-116.673","1194.8","2012",,,,"58.2","72.7"
"USR0000CANZ","ANZA CALIFORNIA, CA US","33.555","-116.673","1194.8","2013",,,,"57.7","71.7"
"USR0000CANZ","ANZA CALIFORNIA, CA US","33.555","-116.673","1194.8","2014",,,,"59.6","73.6"
"USR0000CANZ","ANZA CALIFORNIA, CA US","33.555","-116.673","1194.8","2015",,,,"58.7","72.4"
"USR0000CANZ","ANZA CALIFORNIA, CA US","33.555","-116.673","1194.8","2016",,,,"58.5","72.6"
"USW00053151","FALLBROOK 5 NE, CA US","33.4392","-117.1904","347.5","2010",,"26.66",,"63.2","74.5"
"USW00053151","FALLBROOK 5 NE, CA US","33.4392","-117.1904","347.5","2011",,"12.40",,"63.4","75.2"
"USW00053151","FALLBROOK 5 NE, CA US","33.4392","-117.1904","347.5","2012",,"11.57",,"65.5","77.6"
"USW00053151","FALLBROOK 5 NE, CA US","33.4392","-117.1904","347.5","2013",,"6.36",,"65.3","77.5"
"USW00053151","FALLBROOK 5 NE, CA US","33.4392","-117.1904","347.5","2014",,"12.22",,"68.1","80.3"
"USW00053151","FALLBROOK 5 NE, CA US","33.4392","-117.1904","347.5","2015",,"7.55",,"67.5","79.2"
"USW00053151","FALLBROOK 5 NE, CA US","33.4392","-117.1904","347.5","2016",,"13.57",,"66.8","78.6"
"US1CARV0019","RIVERSIDE 3.8 NW, CA US","33.9793","-117.4541","256.3","2011",,"7.86",,,
"US1CARV0034","PERRIS 10.6 W, CA US","33.8209","-117.4051","483.4","2015",,"6.73",,,
"US1CARV0034","PERRIS 10.6 W, CA US","33.8209","-117.4051","483.4","2016",,"8.54",,,
"US1CARV0036","SUNNYSLOPE 1.6 W, CA US","34.0158","-117.4498","288.3","2015",,"9.14",,,
"US1CARV0036","SUNNYSLOPE 1.6 W, CA US","34.0158","-117.4498","288.3","2016",,"9.29",,,
"USR0000CCLK","CLARK CALIFORNIA, CA US","33.8767","-117.3089","524.3","2010",,,,"62.8","75.5"
"USR0000CCLK","CLARK CALIFORNIA, CA US","33.8767","-117.3089","524.3","2011",,,,"62.9","76.1"
"USR0000CCLK","CLARK CALIFORNIA, CA US","33.8767","-117.3089","524.3","2012",,,,"65.3","78.6"
"USR0000CCLK","CLARK CALIFORNIA, CA US","33.8767","-117.3089","524.3","2013",,,,"64.7","77.6"
"USR0000CCLK","CLARK CALIFORNIA, CA US","33.8767","-117.3089","524.3","2014",,,,"66.9","79.8"
"USR0000CCLK","CLARK CALIFORNIA, CA US","33.8767","-117.3089","524.3","2015",,,,"66.5","79.3"
"USR0000CCLK","CLARK CALIFORNIA, CA US","33.8767","-117.3089","524.3","2016",,,,"66.6","80.0"
