,county,Arson_x,Campfire_x,Debris Burning_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Powerline_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Powerline_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,county.1,Total,Brush,Grass,Timber,Woodland,Other,year_x.1,region_x.1,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Power- line,Rail-road,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year_y.1,region_y.1,county_year
59,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
60,Plumas,0,0,0,0,0,0,0,0,0,0,1,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
61,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
62,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
63,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
64,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
65,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
66,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
67,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
68,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
69,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
70,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
71,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
72,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
73,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
74,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
75,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
76,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
77,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
78,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
79,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
80,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
81,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
82,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
83,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
84,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
85,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
86,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
87,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
88,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
89,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
90,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
91,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
92,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,2010,north,6,1,0,0,0,0,0,2010,north,0,0,0,1,0,0,0,0,0,0,0,0,2010,north,1,0,0,0,0,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Plumas_2010
93,Riverside,6,0,7,33,7,47,0,10,0,6,64,3,2010,south,45,113,17,4,3,1,0,2010,south,15,0,74,"1,209",616,"1,809",0,13,0,4,798,10,2010,south,4547,1917,2487,8,0,135,2010,south,$0 ,$0 ,$0 ,"$1,000 ",$0 ,"$35,450 ",$0 ,"$5,025 ",$0 ,$0 ,"$12,000 ",$0 ,2010,south,$25 ,"$53,450 ",$0 ,$0 ,$0 ,"$53,475 ",$25 ,2010,south,Riverside_2010
94,Sacramento,4,0,1,3,0,5,0,6,0,0,4,0,2010,north,5,15,2,1,0,0,0,2010,north,15,0,1,9,0,9,0,177,0,0,2,0,2010,north,213,0,192,0,0,21,2010,north,$0 ,$0 ,"$1,000 ","$2,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,"$3,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Sacramento_2010
95,San Benito,2,2,2,4,0,6,0,1,0,0,4,1,2010,south,4,12,6,0,0,0,0,2010,south,20,1,28,15,0,85,0,1,0,0,6,1,2010,south,156,20,83,0,0,53,2010,south,"$50,000 ",$0 ,$0 ,$0 ,$0 ,"$12,000 ",$0 ,$15 ,$0 ,$0 ,$0 ,$0 ,2010,south,$0 ,$15 ,"$62,000 ",$0 ,$0 ,"$62,015 ",$0 ,2010,south,San Benito_2010
96,San Bernardino,8,0,16,8,6,28,0,4,0,0,46,0,2010,south,52,60,4,0,0,0,0,2010,south,16,0,1,9,3,41,0,81,0,0,169,0,2010,south,321,88,205,0,0,28,2010,south,$400 ,$0 ,$0 ,$400 ,$0 ,$0 ,$0 ,"$1,000 ",$0 ,$0 ,"$4,000 ",$0 ,2010,south,$0 ,$800 ,"$5,000 ",$0 ,$0 ,"$5,800 ",$0 ,2010,south,San Bernardino_2010
97,San Diego,7,0,16,18,8,40,0,3,0,0,43,1,2010,south,65,59,7,3,1,1,0,2010,south,9,0,9,50,156,"2,037",0,1,0,0,"1,324",8,2010,south,3594,1234,2276,1,0,83,2010,south,$0 ,$0 ,$0 ,"$5,700 ",$0 ,"$9,300 ",$0 ,$0 ,$0 ,$0 ,"$10,550 ","$10,000 ",2010,south,"$10,350 ","$15,200 ",$0 ,$0 ,"$10,000 ","$35,550 ","$10,350 ",2010,south,San Diego_2010
98,San Joaquin,0,0,1,1,0,5,0,0,0,0,3,0,2010,north,4,6,0,0,0,0,0,2010,north,0,0,1,1,0,4,0,0,0,0,1,0,2010,north,6,0,3,0,0,3,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,San Joaquin_2010
99,San Luis Obispo,0,0,7,18,1,21,0,2,0,0,29,1,2010,south,23,48,4,3,0,1,0,2010,south,0,0,59,408,1,284,0,2,0,0,"1,259",4,2010,south,2018,29,1940,1,0,48,2010,south,$0 ,$0 ,"$1,566 ","$40,900 ",$0 ,"$3,501 ",$0 ,$0 ,$0 ,$0 ,$801 ,"$7,500 ",2010,south,"$3,568 ","$10,100 ",$100 ,"$40,500 ",$0 ,"$54,268 ","$3,568 ",2010,south,San Luis Obispo_2010
100,San Mateo,0,0,0,1,0,5,0,2,0,1,6,0,2010,north,8,7,0,0,0,0,0,2010,north,0,0,0,1,0,3,0,3,0,0,5,0,2010,north,11,3,7,1,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,"$1,500 ",$0 ,2010,north ,$0 ,"$1,600 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,San Mateo_2010
101,Santa Clara,4,0,1,7,0,12,0,0,1,11,1,1,2010,north,12,22,3,0,0,0,0,2010,north,5,0,4,31,0,6,0,0,0,0,22,1,2010,north,68,2,59,2,0,5,2010,north,$0 ,$0 ,"$1,000 ","$2,900 ",$0 ,"$1,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,"$1,500 ","$3,400 ",$500 ,$0 ,$0 ,$0 ,$0 ,2010,north,Santa Clara_2010
102,Santa Cruz,5,0,3,4,0,16,0,4,0,0,13,1,2010,north,25,21,0,0,0,0,0,2010,north,3,0,1,1,0,10,0,1,0,0,5,1,2010,north,23,3,13,5,0,2,2010,north,$1 ,$0 ,$700 ,$0 ,$0 ,"$198,000 ",$0 ,$0 ,$0 ,$0 ,$50 ,"$2,200 ",2010,north ,$751 ,"$200,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Santa Cruz_2010
103,Shasta,5,3,19,15,1,26,0,1,1,38,0,0,2010,north,36,67,5,1,0,0,0,2010,north,2,2,28,67,0,208,0,1,0,1,104,0,2010,north,413,54,109,20,1,229,2010,north,$0 ,$0 ,"$3,500 ","$64,200 ",$0 ,"$6,700 ",$0 ,$0 ,$0 ,$0 ,"$27,550 ",$0 ,2010,north ,"$15,000 ","$41,750 ","$45,200 ",$0 ,$0 ,$0 ,$0 ,2010,north,Shasta_2010
104,Shasta,5,3,19,15,1,26,0,1,1,38,0,0,2010,north,36,67,5,1,0,0,0,2010,north,2,2,28,67,0,208,0,1,0,1,104,0,2010,north,413,54,109,20,1,229,2010,north,$0 ,$0 ,"$3,500 ","$64,200 ",$0 ,"$6,700 ",$0 ,$0 ,$0 ,$0 ,"$27,550 ",$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Shasta_2010
105,Sierra,0,0,0,0,0,0,0,0,0,0,3,0,2010,north,0,3,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,4,0,2010,north,4,0,0,2,0,2,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ",$0 ,2010,north ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Sierra_2010
106,Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,2010,north,37,18,2,0,0,0,0,2010,north,0,0,1,4,7,32,0,7,0,2,8,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Siskiyou_2010
107,Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,2010,north,37,18,2,0,0,0,0,2010,north,0,0,1,4,7,32,0,7,0,2,8,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,"$2,700 ","$4,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Siskiyou_2010
108,Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,2010,north,37,18,2,0,0,0,0,2010,north,0,0,1,4,7,32,0,7,0,2,8,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$500 ,$50 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,500 ",2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Siskiyou_2010
109,Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,2010,north,37,18,2,0,0,0,0,2010,north,0,0,1,4,7,32,0,7,0,2,8,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$500 ,$50 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,500 ",2010,north ,"$2,700 ","$4,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Siskiyou_2010
110,Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,2010,north,37,18,2,0,0,0,0,2010,north,0,0,1,4,7,32,0,7,0,2,8,0,2010,north,62,10,23,4,2,23,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Siskiyou_2010
111,Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,2010,north,37,18,2,0,0,0,0,2010,north,0,0,1,4,7,32,0,7,0,2,8,0,2010,north,62,10,23,4,2,23,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,"$2,700 ","$4,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Siskiyou_2010
112,Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,2010,north,37,18,2,0,0,0,0,2010,north,0,0,1,4,7,32,0,7,0,2,8,0,2010,north,62,10,23,4,2,23,2010,north,$0 ,$0 ,$500 ,$50 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,500 ",2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Siskiyou_2010
113,Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,2010,north,37,18,2,0,0,0,0,2010,north,0,0,1,4,7,32,0,7,0,2,8,0,2010,north,62,10,23,4,2,23,2010,north,$0 ,$0 ,$500 ,$50 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,500 ",2010,north ,"$2,700 ","$4,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Siskiyou_2010
114,Solano,0,0,2,3,0,4,0,0,0,5,0,0,2010,north,2,11,1,0,0,0,0,2010,north,0,0,3,47,0,6,0,0,0,0,12,0,2010,north,68,0,66,0,0,2,2010,north,$0 ,$0 ,$0 ,"$10,250 ",$0 ,$400 ,$0 ,$0 ,$0 ,$0 ,$500 ,$0 ,2010,north ,$250 ,$900 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Solano_2010
115,Sonoma,1,0,7,9,0,31,0,7,1,15,4,4,2010,north,36,36,3,0,0,0,0,2010,north,0,0,5,27,0,95,0,97,0,1,10,0,2010,north,234,3,219,3,0,9,2010,north,$0 ,$0 ,$40 ,"$100,750 ",$0 ,"$15,000 ",$0 ,"$224,450 ",$0 ,$0 ,$0 ,$0 ,2010,north ,"$1,500 ","$108,790 ","$229,950 ",$0 ,$0 ,$0 ,$0 ,2010,north,Sonoma_2010
116,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,126,0,2010,north,126,0,0,126,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
117,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,126,0,2010,north,126,0,0,126,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,"$10,700 ","$38,700 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
118,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,126,0,2010,north,126,0,0,126,0,0,2010,north,$0 ,$0 ,"$5,200 ","$10,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
119,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,126,0,2010,north,126,0,0,126,0,0,2010,north,$0 ,$0 ,"$5,200 ","$10,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north ,"$10,700 ","$38,700 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
