,county,arson_x,campfire_x,debris burning_x,equip. use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,arson_y,campfire_y,debris_burning,equip_use,ltng,misc,powerline_y,pwf,railroad_y,smoking_y,undet,vehicle_y,year_x,region_x,total,brush,grass,timber,woodland,other,year_y,region_y,arson,campfire,debris burning_y,equip. use_y,ltng._y,misc._y,power-line,p-w-f_y,rail-road,smoking,undet._y,vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region,county_year
30,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
31,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
32,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
33,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
34,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
35,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
36,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
37,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
38,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
39,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
