county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning,elec._power,equip._use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,year_x.2,region_x.2,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year_y.2,region_y.2,county_year
Sacramento,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,2014.0,north,3.0,10.0,2.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,2.0,26.0,3,0,3,0.0,0.0,0.0,56.0,4,2014.0,Northern,0.0,93.0,0.0,0.0,1.0,2014.0,north,$0 ,$0 ,$0 ,,$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,2014.0,north,$0 ,$52 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Sacramento_2014
San Benito,1.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2014.0,south,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2014.0,south,0,0.0,0.0,3.0,0,0,12,0.0,0.0,0.0,6.0,3,2014.0,Southern,0.0,15.0,0.0,0.0,9.0,2014.0,south,$0 ,$0 ,$500 ,"$1,000 ",,$0 ,$100 ,$0 ,$0 ,$0 ,$100 ,$0 ,2014.0,south ,$500 ,"$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south,San Benito_2014
San Bernardino,10.0,18.0,25.0,1.0,2.0,1.0,24.0,2.0,1.0,4.0,25.0,2.0,2014.0,south,100.0,15.0,0.0,0.0,0.0,0.0,0.0,2014.0,south,2,12.0,4.0,0.0,0,0,2,0.0,0.0,1.0,15.0,1,2014.0,Southern,12.0,6.0,0.0,3.0,16.0,2014.0,south,$0 ,$0 ,$300 ,$0 ,$10 ,$0 ,$0 ,$175 ,$0 ,$0 ,$0 ,"$5,000 ",2014.0,south ,$485 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south,San Bernardino_2014
San Diego,4.0,6.0,12.0,11.0,2.0,2.0,21.0,0.0,0.0,2.0,66.0,19.0,2014.0,south,83.0,56.0,3.0,2.0,1.0,0.0,0.0,2014.0,south,1,0.0,10.0,6.0,1,2,18,0.0,0.0,1.0,857.0,31,2014.0,Southern,304.0,159.0,1.0,0.0,463.0,2014.0,south,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,$150 ,$0 ,$0 ,$0 ,"$606,700 ","$59,302 ",2014.0,south ,"$34,752 ","$31,402 ",$0 ,$0 ,"$600,000 ",$0 ,$0 ,2014.0,south,San Diego_2014
San Joaquin,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2014.0,north,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,18.0,12,2014.0,Northern,0.0,30.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,San Joaquin_2014
San Luis Obispo,0.0,6.0,4.0,10.0,7.0,0.0,21.0,1.0,0.0,2.0,22.0,12.0,2014.0,south,57.0,26.0,2.0,0.0,0.0,0.0,0.0,2014.0,south,0,23.0,2.0,31.0,6,0,0,0.0,0.0,0.0,15.0,35,2014.0,Southern,5.0,74.0,0.0,3.0,30.0,2014.0,south,$0 ,$50 ,$0 ,$0 ,$900 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$1,240 ","$1,000 ",2014.0,south ,"$1,640 ","$2,550 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south,San Luis Obispo_2014
San Mateo,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,2014.0,north,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,5.0,0,0,0,2.0,0.0,0.0,1.0,1,2014.0,Northern,5.0,4.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,$100 ,,$0 ,$2 ,$0 ,$0 ,$0 ,$40 ,$0 ,2014.0,north,$42 ,$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,San Mateo_2014
Santa Clara,2.0,3.0,0.0,3.0,5.0,0.0,2.0,1.0,0.0,3.0,13.0,5.0,2014.0,north,21.0,13.0,2.0,1.0,0.0,0.0,0.0,2014.0,north,23,0.0,0.0,0.0,5,0,0,150.0,0.0,1.0,7.0,83,2014.0,Northern,82.0,185.0,0.0,0.0,2.0,2014.0,north,$0 ,$0 ,$0 ,$0 ,"$1,100 ",$0 ,$0 ,$0 ,$0 ,"$1,550,500 ",$100 ,$0 ,2014.0,north  ,$800 ,"$1,550,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Santa Clara_2014
Santa Cruz,11.0,7.0,11.0,8.0,2.0,0.0,5.0,1.0,0.0,2.0,13.0,2.0,2014.0,north,50.0,12.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,3,2.0,3.0,1.0,0,0,0,0.0,0.0,0.0,6.0,0,2014.0,Northern,1.0,1.0,13.0,0.0,0.0,2014.0,north,$600 ,$360 ,$0 ,"$4,000 ",,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$3,460 ","$1,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Santa Cruz_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
