county_year,county,Arson_x,Campfire_x,Debris Burning_x,Elec. Power_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Elec. Power_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,Region,Brush,Grass,Timber,Woodland,Other,year_x,region_x,Arson,Campfire,Debris Burning,Elec. Power,Equip.Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region
San Diego_2015,San Diego,0,3,16,6,9,6,17,3,0,0,47,3,2015,south,76,30,3,1,0,0,0,2015,south,0,2,4,3,7,2,10,0,0,0,201,0,2015,southern,63,144,3,19,0,2015,south,$0 ,$0 ,$0 ,"$11,407 ",,$0 ,$0 ,"$30,000 ",$0 ,$0 ,"$88,050 ","$15,500 ",2015,south,"$58,407 ",$550 ,"$86,000 ",$0 ,$0 ,$0 ,$0 ,2015,south
San Joaquin_2015,San Joaquin,0,0,0,1,1,0,1,0,0,0,2,1,2015,north,2,3,1,0,0,0,0,2015,north,0,0,0,2,0,0,60,0,0,0,2,1,2015,northern,0,64,0,1,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
San Luis Obispo_2015,San Luis Obispo,1,10,7,11,15,7,42,1,0,1,11,28,2015,south,85,43,4,0,0,2,0,2015,south,0,3,24,11,11,4,110,0,0,0,7,"4,293",2015,southern,1890,2535,4,34,0,2015,south,$0 ,$100 ,$0 ,"$15,100 ",,"$20,000 ","$440,400 ",$0 ,$0 ,$0 ,$0 ,"$924,300 ",2015,south,"$440,800 ","$39,100 ",$0 ,$0 ,$0 ,"$920,000 ",$0 ,2015,south
San Mateo_2015,San Mateo,0,1,0,2,2,1,0,0,0,1,9,1,2015,north,9,7,1,0,0,0,0,2015,north,0,0,0,7,4,0,0,0,0,1,15,10,2015,northern,0,35,1,1,0,2015,north,$0 ,$0 ,$0 ,$2 ,$200 ,$300 ,$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2015,north ,$302 ,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Santa Clara_2015,Santa Clara,1,0,2,6,7,1,9,0,0,0,26,6,2015,north,30,25,3,0,0,0,0,2015,north,0,0,0,9,5,1,3,0,0,0,159,6,2015,northern,42,122,3,16,0,2015,north,$0 ,$0 ,$0 ,,$494 ,$0 ,$100 ,$0 ,$0 ,$0 ,"$10,580 ",$100 ,2015,north ,$400 ,"$3,374 ","$7,500 ",$0 ,$0 ,$0 ,$0 ,2015,north
Santa Clara_2015,Santa Clara,1,0,2,6,7,1,9,0,0,0,26,6,2015,north,30,25,3,0,0,0,0,2015,north,7,1,0,287,307,44,56,0,0,0,"3,204",213,2015,northern,42,122,3,16,0,2015,north,$0 ,$0 ,$0 ,,$494 ,$0 ,$100 ,$0 ,$0 ,$0 ,"$10,580 ",$100 ,2015,north ,$400 ,"$3,374 ","$7,500 ",$0 ,$0 ,$0 ,$0 ,2015,north
Santa Cruz_2015,Santa Cruz,7,2,2,8,4,0,6,0,0,1,13,3,2015,north,40,6,0,0,0,0,0,2015,north,1,0,0,4,0,0,2,0,0,0,3,0,2015,northern,1,3,5,1,0,2015,north,$105 ,$0 ,$0 ,$900 ,$500 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,002 ","$5,500 ",2015,north ,"$9,107 ",$900 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,"$31,080 ","$71,241 ","$415,000 ","$300,000 ",$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
