county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris,equip.,ltng._y,misc._y,powerline_y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning_y,equip._use_y,ltng.,misc.,powerline,p-w-f,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
San Benito,1.0,0.0,4.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,4.0,2012.0,south,9.0,11.0,1.0,0.0,0.0,0.0,0.0,2012.0,south,1,0,5.0,9,1,36,2,0.0,0.0,0.0,1,0.0,2012.0,south,5.0,49.0,0.0,0.0,1.0,2012.0,south,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$480 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,south,$0 ,"$1,000 ",$480 ,$0 ,$0 ,$0 ,$0 ,2012.0,south,San Benito_2012
San Bernardino,3.0,9.0,19.0,3.0,12.0,24.0,10.0,5.0,0.0,4.0,28.0,6.0,2012.0,south,86.0,30.0,5.0,1.0,0.0,1.0,0.0,2012.0,south,1,111,5.0,1,91,6,7,2.0,0.0,3.0,"1,128",111.0,2012.0,south,152.0,1301.0,1.0,0.0,12.0,2012.0,south,$0 ,$0 ,$250 ,$0 ,$0 ,"$1,150 ","$25,500 ",$0 ,$0 ,$0 ,"$6,200 ",$200 ,2012.0,south,"$26,400 ",$700 ,"$6,200 ",$0 ,$0 ,$0 ,$0 ,2012.0,south,San Bernardino_2012
San Diego,7.0,3.0,15.0,16.0,12.0,27.0,9.0,1.0,0.0,0.0,65.0,7.0,2012.0,south,76.0,64.0,16.0,0.0,2.0,2.0,2.0,2012.0,south,3,1,8.0,23,"24,851","1,055",18,0.0,0.0,0.0,"9,211",43.0,2012.0,south,3238.0,162.0,7.0,0.0,31806.0,2012.0,south,$0 ,$0 ,$0 ,$2 ,$2 ,"$100,000 ","$10,700 ",$0 ,$0 ,$0 ,"$900,311 ",$100 ,2012.0,south,$201 ,$704 ,"$10,210 ",$0 ,"$200,000 ","$800,000 ",$0 ,2012.0,south,San Diego_2012
San Luis Obispo,0.0,4.0,8.0,9.0,2.0,51.0,14.0,2.0,1.0,1.0,32.0,12.0,2012.0,south,90.0,41.0,2.0,2.0,1.0,0.0,0.0,2012.0,south,0,1,77.0,644,150,172,18,1.0,1.0,1.0,25,31.0,2012.0,south,723.0,386.0,3.0,0.0,9.0,2012.0,south,$0 ,$0 ,$0 ,"$6,500 ",$0 ,$150 ,"$22,000 ",$0 ,$0 ,$0 ,$650 ,"$14,500 ",2012.0,south,"$11,100 ","$20,700 ","$12,000 ",$0 ,$0 ,$0 ,$0 ,2012.0,south,San Luis Obispo_2012
San Mateo,2.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,2012.0,north,8.0,6.0,1.0,0.0,0.0,0.0,0.0,2012.0,north,2,1,0.0,3,1,0,13,0.0,0.0,0.0,0,0.0,2012.0,north,0.0,17.0,1.0,0.0,2.0,2012.0,north,$0 ,"$20,000 ",$0 ,$0 ,$0 ,$100 ,"$5,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north ,$100 ,"$20,002 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,2012.0,north,San Mateo_2012
Santa Clara,1.0,4.0,2.0,1.0,0.0,7.0,5.0,0.0,0.0,0.0,9.0,5.0,2012.0,north,16.0,18.0,0.0,0.0,0.0,0.0,0.0,2012.0,north,1,2,8.0,0,0,1,1,0.0,0.0,0.0,10,3.0,2012.0,north,1.0,17.0,1.0,1.0,6.0,2012.0,north,$0 ,$0 ,"$3,000 ",$0 ,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$202 ,"$1,000 ",2012.0,north ,$200 ,"$4,102 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Santa Clara_2012
Santa Cruz,0.0,5.0,9.0,1.0,1.0,10.0,7.0,3.0,0.0,0.0,5.0,2.0,2012.0,north,28.0,14.0,0.0,1.0,0.0,0.0,0.0,2012.0,north,0,3,110.0,1,0,2,2,2.0,0.0,0.0,1,1.0,2012.0,north,1.0,3.0,15.0,0.0,103.0,2012.0,north,$0 ,$60 ,"$45,000 ","$1,000 ",$0 ,$0 ,$110 ,$0 ,$0 ,$0 ,$0 ,"$23,500 ",2012.0,north ,"$12,110 ","$57,560 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Santa Cruz_2012
Shasta,13.0,7.0,24.0,21.0,15.0,22.0,14.0,3.0,0.0,2.0,42.0,8.0,2012.0,north,49.0,112.0,5.0,4.0,0.0,1.0,0.0,2012.0,north,12,72,36.0,235,180,374,"1,116",2.0,0.0,0.0,97,10.0,2012.0,north,1215.0,573.0,23.0,47.0,276.0,2012.0,north,$0 ,$500 ,"$1,000 ","$8,900 ",$100 ,$0 ,"$60,200 ",$0 ,$0 ,$0 ,"$2,500 ","$11,500 ",2012.0,north ,"$10,500 ","$43,500 ",$700 ,$0 ,$0 ,"$30,000 ",$0 ,2012.0,north,Shasta_2012
Shasta,13.0,7.0,24.0,21.0,15.0,22.0,14.0,3.0,0.0,2.0,42.0,8.0,2012.0,north,49.0,112.0,5.0,4.0,0.0,1.0,0.0,2012.0,north,12,72,36.0,235,180,374,"1,116",2.0,0.0,0.0,97,10.0,2012.0,north,1215.0,573.0,23.0,47.0,276.0,2012.0,north,$0 ,$500 ,"$1,000 ","$8,900 ",$100 ,$0 ,"$60,200 ",$0 ,$0 ,$0 ,"$2,500 ","$11,500 ",2012.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Shasta_2012
Sierra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2012.0,north,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2012.0,north,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0.0,2012.0,north,0.0,0.0,0.0,0.0,2.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Sierra_2012
