county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,p-w-f_x,powerline_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,equip._use_y,ltng._y,misc._y,p-w-f_y,powerline_y,railroad_y,smoking_y,undet._y,vehicle_y,year,county.1,brush,grass,timber,woodland,other,year_x.1,region_x.1,arson,campfire,debris_burning,equip._use,ltng.,misc.,p-w-f,power-_line,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year_y.1,region_y.1,county_year
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
Plumas,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2010.0,north,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,north,0.0,0.0,0.0,0.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Plumas_2010
